テーブル名,項目名(物理名),データ型,桁,必須,PK
基本商品マスタ,User_Cd,NVARCHAR2,5,○,○
基本商品マスタ,Sku_Cd,NVARCHAR2,13,○,○
基本商品マスタ,ValidFlag,NVARCHAR2,1,○,
基本商品マスタ,Name,NVARCHAR2,100,○,
基本商品マスタ,StandardName,NVARCHAR2,20,--,
基本商品マスタ,Sname,NVARCHAR2,28,○,
基本商品マスタ,AName1,NVARCHAR2,25,○,
基本商品マスタ,AName2,NVARCHAR2,20,--,
基本商品マスタ,POSName,NVARCHAR2,40,--,
基本商品マスタ,Maker_Cd,NVARCHAR2,9,○,
基本商品マスタ,ModelNo,NVARCHAR2,20,--,
基本商品マスタ,TaxType,NVARCHAR2,1,○,
基本商品マスタ,Tax_Cd,NVARCHAR2,1,○,
基本商品マスタ,MakerPrice,NUMBER,11.2,○,
基本商品マスタ,OrderStopType,NVARCHAR2,1,○,
基本商品マスタ,OrderStopTypeDate,DATE,--,○,
基本商品マスタ,GuaranteeType,NVARCHAR2,1,○,
基本商品マスタ,SubconType,NVARCHAR2,1,○,
基本商品マスタ,ItemType,NVARCHAR2,1⇒4,○,
基本商品マスタ,OrderLimitType,NVARCHAR2,1,○,
基本商品マスタ,SuppliesType,NVARCHAR2,1,○,
基本商品マスタ,AutoDiscountType,NVARCHAR2,1,○,
基本商品マスタ,Capacity,NUMBER,9,○,
基本商品マスタ,CapacityUnit,NVARCHAR2,2,○,
基本商品マスタ,Alcohol_Cd,NVARCHAR2,2,○,
基本商品マスタ,AlcoholLevel,NUMBER,4.2,○,
基本商品マスタ,SkuSeason_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute1_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute2_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute3_Cd,NVARCHAR2,4,○,
基本商品マスタ,ReferenceCapacity,NUMBER,9,○,
基本商品マスタ,Mark_Cd,NVARCHAR2,4,○,
基本商品マスタ,Color_Cd,NVARCHAR2,4,○,
基本商品マスタ,Size_Cd,NVARCHAR2,4,○,
基本商品マスタ,Width,NUMBER,6,○,
基本商品マスタ,Height,NUMBER,6,○,
基本商品マスタ,Depth,NUMBER,6,○,
基本商品マスタ,ShelfLife,NUMBER,3,○,
基本商品マスタ,PricingType,NVARCHAR2,1,○,
基本商品マスタ,ShapeType,NVARCHAR2,1,○,
基本商品マスタ,ItemStockType,NVARCHAR2,1,○,
基本商品マスタ,ReturnType,NVARCHAR2,1,○,
基本商品マスタ,TeikanType,NVARCHAR2,1,○,
基本商品マスタ,SubSku_Cd,NVARCHAR2,13,○,
基本商品マスタ,OrderStartDate,DATE,--,○,
基本商品マスタ,OrderEndDate,DATE,--,○,
基本商品マスタ,SaleStartDate,DATE,--,○,
基本商品マスタ,SaleEndDate,DATE,--,○,
基本商品マスタ,WeeklySalesQty,NUMBER,7.2,○,
基本商品マスタ,JANType,NVARCHAR2,2,○,
基本商品マスタ,ItemMedicineType,NVARCHAR2,10,○,
基本商品マスタ,RsvChar1,NVARCHAR2,10,○,
基本商品マスタ,RsvChar2,NVARCHAR2,10,○,
基本商品マスタ,RsvChar3,NVARCHAR2,10,○,
基本商品マスタ,RsvChar4,NUMBER,10,○,
基本商品マスタ,RsvNum1,NUMBER,10,--,
基本商品マスタ,RsvNum2,NUMBER,10,○,
基本商品マスタ,RsvNum3,NUMBER,10,○,
基本商品マスタ,RsvNum4,DATE,--,--,
基本商品マスタ,RsvDate1,TIMESTAMP,6,,
基本商品マスタ,AddOperator_Cd,NVARCHAR2,20,○,
基本商品マスタ,AddDateTime,TIMESTAMP,6,○,
基本商品マスタ,AddProc_Cd,NVARCHAR2,40,--,
基本商品マスタ,UpdOperator_Cd,NVARCHAR2,20,○,
基本商品マスタ,UpdDateTime,TIMESTAMP,6,○,
基本商品マスタ,UpdProc_Cd,NVARCHAR2,40,--,
基本商品拡張マスタ,Sku_Cd,NVARCHAR2,13,○,○
基本商品拡張マスタ,User_Cd,NVARCHAR2,5,○,
基本商品拡張マスタ,ValidFlag,NVARCHAR2,1,○,
基本商品拡張マスタ,CategoryName1,NVARCHAR2,50,--,
基本商品拡張マスタ,CategoryName2,NVARCHAR2,50,--,
基本商品拡張マスタ,ItemName1,NVARCHAR2,100,0,
基本商品拡張マスタ,ItemName2,NVARCHAR2,100,0,
基本商品拡張マスタ,ItemName3,NVARCHAR2,100,0,
基本商品拡張マスタ,AddOperator_Cd,NVARCHAR2,20,○,
基本商品拡張マスタ,AddDateTime,TIMESTAMP,6,○,
基本商品拡張マスタ,AddProc_Cd,NVARCHAR2,40,--,
基本商品拡張マスタ,UpdOperator_Cd,NVARCHAR2,20,○,
基本商品拡張マスタ,UpdDateTime,TIMESTAMP,6,○,
基本商品拡張マスタ,UpdProc_Cd,NVARCHAR2,40,--,
基本商品拡張マスタ,Colors_Cd,NVARCHAR2,10,--,
基本商品拡張マスタ,Colors_Name,NVARCHAR2,50,--,
基本商品拡張マスタ,Colors_Aname,NVARCHAR2,50,--,
基本商品拡張マスタ,Size1_Cd,NVARCHAR2,10,--,
基本商品拡張マスタ,Size1_Name,NVARCHAR2,50,--,
基本商品拡張マスタ,Size1_Aname,NVARCHAR2,50,--,
店舗商品マスタ,User_Cd,NVARCHAR2,5,○,○
店舗商品マスタ,Sku_Cd,NVARCHAR2,13,○,○
店舗商品マスタ,Store_Cd,NVARCHAR2,5,○,○
店舗商品マスタ,ValidFlag,NVARCHAR2,1,○,
店舗商品マスタ,EOSFlag,NVARCHAR2,1,○,
店舗商品マスタ,Partner_Cd,NVARCHAR2,6,○,
店舗商品マスタ,TenantType,NVARCHAR2,1,○,
店舗商品マスタ,LotQty,NUMBER,4,○,
店舗商品マスタ,Unit,NVARCHAR2,2,○,
店舗商品マスタ,MaxOrderQty,NUMBER,4,○,
店舗商品マスタ,StoreOrderStopType,NVARCHAR2,1,○,
店舗商品マスタ,StoreOrderStopTypeDate,DATE,--,○,
店舗商品マスタ,GntnkType,NVARCHAR2,1,○,
店舗商品マスタ,OrderGntnk1,NUMBER,11.2,○,
店舗商品マスタ,OrderGntnk2,NUMBER,11.2,○,
店舗商品マスタ,ConsignItemType,NVARCHAR2,1,○,
店舗商品マスタ,LogisticsCenterType,NVARCHAR2,1,○,
店舗商品マスタ,PartnerStockPD,NVARCHAR2,6,○,
店舗商品マスタ,DeliveryRoute,NVARCHAR2,2,○,
店舗商品マスタ,StoreMaintenanceType,NVARCHAR2,1,○,
店舗商品マスタ,POSFlag,NVARCHAR2,1,○,
店舗商品マスタ,POSGntnk1,NUMBER,11.2,○,
店舗商品マスタ,POSGntnk2,NUMBER,11.2,○,
店舗商品マスタ,Bitnk1,NUMBER,11.2,○,
店舗商品マスタ,Bitnk2,NUMBER,11.2,○,
店舗商品マスタ,TagType,NVARCHAR2,1,○,
店舗商品マスタ,JanForcedInputType,NVARCHAR2,1,○,
店舗商品マスタ,UnitPriceFlag,NVARCHAR2,1,○,
店舗商品マスタ,UnitPriceCapacity,NUMBER,9.2,○,
店舗商品マスタ,UnitPriceUnit_Cd,NVARCHAR2,2,○,
店舗商品マスタ,RsvChar1,NVARCHAR2,10,--,
店舗商品マスタ,RsvChar2,NVARCHAR2,10,--,
店舗商品マスタ,RsvChar3,NVARCHAR2,10,--,
店舗商品マスタ,RsvChar4,NVARCHAR2,10,--,
店舗商品マスタ,RsvNum1,NUMBER,10,--,
店舗商品マスタ,RsvNum2,NUMBER,10,--,
店舗商品マスタ,RsvNum3,NUMBER,10,--,
店舗商品マスタ,RsvNum4,NUMBER,10,--,
店舗商品マスタ,RsvDate1,DATE,--,--,
店舗商品マスタ,RsvDateTime1,TIMESTAMP,6,--,
店舗商品マスタ,AddOperator_Cd,NVARCHAR2,20,○,
店舗商品マスタ,AddDateTime,TIMESTAMP,6,○,
店舗商品マスタ,AddProc_Cd,NVARCHAR2,40,--,
店舗商品マスタ,UpdOperator_Cd,NVARCHAR2,20,○,
店舗商品マスタ,UpdDateTime,TIMESTAMP,6,○,
店舗商品マスタ,UpdProc_Cd,NVARCHAR2,40,--,
店舗商品拡張マスタ,User_Cd,NVARCHAR2,5,○,○
店舗商品拡張マスタ,Sku_Cd,NVARCHAR2,13,○,○
店舗商品拡張マスタ,Store_Cd,NVARCHAR2,5,○,○
店舗商品拡張マスタ,ValidFlag,NVARCHAR2,1,○,
店舗商品拡張マスタ,SalesEndDate,DATE,--,--,
店舗商品拡張マスタ,AltSku_Cd,NVARCHAR2,13,--,
予約店舗商品マスタ,User_Cd,NVARCHAR2,5,○,○
予約店舗商品マスタ,ReflectDate,DATE,--,○,○
予約店舗商品マスタ,Sku_Cd,NVARCHAR2,13,○,○
予約店舗商品マスタ,Store_Cd,NVARCHAR2,5,○,○
予約店舗商品マスタ,EOSFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,EOSFlag_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,Partner_Cd,NVARCHAR2,6,○,
予約店舗商品マスタ,Partner_Cd_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,TenantType,NVARCHAR2,1,○,
予約店舗商品マスタ,TenantType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,LotQty,NUMBER,4,○,
予約店舗商品マスタ,LotQty_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,Unit,NVARCHAR2,2,○,
予約店舗商品マスタ,Unit_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,MaxOrderQty,NUMBER,4,○,
予約店舗商品マスタ,MaxOrderQty_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,StoreOrderStopType,NVARCHAR2,1,○,
予約店舗商品マスタ,StoreOrderStopType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,StoreOrderStopTypeDate,DATE,--,○,
予約店舗商品マスタ,StoreOrderStopTypeDate_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,GntnkType,NVARCHAR2,1,○,
予約店舗商品マスタ,GntnkType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,OrderGntnk1,NUMBER,11.2,○,
予約店舗商品マスタ,OrderGntnk1_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,OrderGntnk2,NUMBER,11.2,○,
予約店舗商品マスタ,OrderGntnk2_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,ConsignItemType,NVARCHAR2,1,○,
予約店舗商品マスタ,ConsignItemType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,LogisticsCenterType,NVARCHAR2,1,○,
予約店舗商品マスタ,LogisticsCenterType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,PartnerStockPD,NVARCHAR2,6,○,
予約店舗商品マスタ,PartnerStockPD_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,DeliveryRoute,NVARCHAR2,2,○,
予約店舗商品マスタ,DeliveryRoute_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,StoreMaintenanceType,NVARCHAR2,1,○,
予約店舗商品マスタ,StoreMaintenanceType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,POSFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,POSFlag_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,POSGntnk1,NUMBER,11.2,○,
予約店舗商品マスタ,POSGntnk1_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,POSGntnk2,NUMBER,11.2,○,
予約店舗商品マスタ,POSGntnk2_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,Bitnk1,NUMBER,11.2,○,
予約店舗商品マスタ,Bitnk1_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,Bitnk2,NUMBER,11.2,○,
予約店舗商品マスタ,Bitnk2_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,TagType,NVARCHAR2,1,○,
予約店舗商品マスタ,TagType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,JanForcedInputType,NVARCHAR2,1,○,
予約店舗商品マスタ,JanForcedInputType_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ,UnitPriceFlag,NVARCHAR2,1,○,⑧
予約店舗商品マスタ,UnitPriceFlag_UpdFlag,NVARCHAR2,1,○,⑧
予約店舗商品マスタ,UnitPriceCapacity,NUMBER,9.2,○,⑧
予約店舗商品マスタ,UnitPriceCapacity_UpdFlag,NVARCHAR2,1,○,⑧
予約店舗商品マスタ,UnitPriceUnit_Cd,NVARCHAR2,2,○,⑧
予約店舗商品マスタ,UnitPriceUnit_Cd_UpdFlag,NVARCHAR2,1,○,⑧
予約店舗商品マスタ,ReflectTimingType,NVARCHAR2,1,○,
予約店舗商品マスタ,MasterUpdDateTime,TIMESTAMP,6,○,
予約店舗商品マスタ,AddOperator_Cd,NVARCHAR2,20,○,
予約店舗商品マスタ,AddDateTime,TIMESTAMP,6,○,
予約店舗商品マスタ,AddProc_Cd,NVARCHAR2,40,--,
予約店舗商品マスタ,UpdOperator_Cd,NVARCHAR2,20,○,
予約店舗商品マスタ,UpdDateTime,TIMESTAMP,6,○,
予約店舗商品マスタ,UpdProc_Cd,NVARCHAR2,40,--,
予約店舗商品マスタ拡張テーブル,User_Cd,NVARCHAR2,5,○,○
予約店舗商品マスタ拡張テーブル,ReflectDate,DATE,--,○,○
予約店舗商品マスタ拡張テーブル,Sku_Cd,NVARCHAR2,13,○,○
予約店舗商品マスタ拡張テーブル,Store_Cd,NVARCHAR2,5,○,○
予約店舗商品マスタ拡張テーブル,SalesEndDate,DATE,--,--,
予約店舗商品マスタ拡張テーブル,SalesEndDate_UpdFlag,NVARCHAR2,1,○,
予約店舗商品マスタ拡張テーブル,AltSku_Cd,NVARCHAR2,13,--,
予約店舗商品マスタ拡張テーブル,AltSku_Cd_UpdFlag,NVARCHAR2,1,○,
ＰＯＰマスタ（詳細）,User_Cd,NVARCHAR2,5,○,○
ＰＯＰマスタ（詳細）,SystemMode_Cd,NVARCHAR2,3,○,○
ＰＯＰマスタ（詳細）,Sku_Cd,NVARCHAR2,13,○,○
ＰＯＰマスタ（詳細）,ValidFlag,NVARCHAR2,1,○,
ＰＯＰマスタ（詳細）,Function1,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function2,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function3,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function4,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function5,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function6,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function7,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function8,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function9,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function10,NVARCHAR2,512,--,
ＰＯＰマスタ（詳細）,Function11,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function12,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function13,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function14,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function15,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function16,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function17,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function18,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function19,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function20,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function21,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function22,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function23,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function24,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function25,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function26,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function27,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function28,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function29,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function30,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function31,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function32,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function33,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function34,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function35,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function36,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function37,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function38,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function39,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function40,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function41,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function42,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function43,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function44,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function45,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function46,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function47,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function48,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function49,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,Function50,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,ForeignLanguage1,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,ForeignLanguage2,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,ForeignLanguage3,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,MaskA,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,MaskB,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,MaskC,NVARCHAR2,256,--,
ＰＯＰマスタ（詳細）,AddOperator_Cd,NVARCHAR2,20,○,
ＰＯＰマスタ（詳細）,AddDateTime,TIMESTAMP,6,○,
ＰＯＰマスタ（詳細）,AddProc_Cd,NVARCHAR2,40,--,
ＰＯＰマスタ（詳細）,UpdOperator_Cd,NVARCHAR2,20,○,
ＰＯＰマスタ（詳細）,UpdDateTime,TIMESTAMP,6,○,
ＰＯＰマスタ（詳細）,UpdProc_Cd,NVARCHAR2,40,--,
ＰＯＰマスタ,User_Cd,NVARCHAR2,5,○,○
ＰＯＰマスタ,SystemMode_Cd,NVARCHAR2,3,○,○
ＰＯＰマスタ,Sku_Cd,NVARCHAR2,13,○,○
ＰＯＰマスタ,ValidFlag,NVARCHAR2,1,○,
ＰＯＰマスタ,LayoutName,NVARCHAR2,256,--,
ＰＯＰマスタ,Sku_Name1,NVARCHAR2,256,--,
ＰＯＰマスタ,Sku_Name2,NVARCHAR2,256,--,
ＰＯＰマスタ,Sku_Name3,NVARCHAR2,256,--,
ＰＯＰマスタ,Bitnk,NVARCHAR2,256,--,
ＰＯＰマスタ,ModelNo,NVARCHAR2,256,--,
ＰＯＰマスタ,Maker_Name,NVARCHAR2,256,--,
ＰＯＰマスタ,Maker_Logo,NVARCHAR2,256,--,
ＰＯＰマスタ,StandardName,NVARCHAR2,256,--,
ＰＯＰマスタ,LimitationQty,NVARCHAR2,256,--,
ＰＯＰマスタ,LotQty,NVARCHAR2,256,--,
ＰＯＰマスタ,RackNo,NVARCHAR2,256,--,
ＰＯＰマスタ,Comment1,NVARCHAR2,512,--,
ＰＯＰマスタ,Comment2,NVARCHAR2,512,--,
ＰＯＰマスタ,Comment3,NVARCHAR2,512,--,
ＰＯＰマスタ,Comment4,NVARCHAR2,512,--,
ＰＯＰマスタ,DiscountComment,NVARCHAR2,256,--,
ＰＯＰマスタ,MMSingleQty,NVARCHAR2,256,--,
ＰＯＰマスタ,MMSingleKngk,NVARCHAR2,256,--,
ＰＯＰマスタ,MMMultiQty,NVARCHAR2,256,--,
ＰＯＰマスタ,MMMultiKngk,NVARCHAR2,256,--,
ＰＯＰマスタ,Term,NVARCHAR2,256,--,
ＰＯＰマスタ,Partner_Cd,NVARCHAR2,256,--,
ＰＯＰマスタ,Class_Cd,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate1,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate2,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate3,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate4,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate5,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate6,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate7,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate8,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate9,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate10,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate11,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate12,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate13,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate14,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate15,NVARCHAR2,256,--,
ＰＯＰマスタ,Illustrate16,NVARCHAR2,256,--,
ＰＯＰマスタ,BackImage,NVARCHAR2,256,--,
ＰＯＰマスタ,Image1,NVARCHAR2,256,--,
ＰＯＰマスタ,Image2,NVARCHAR2,256,--,
ＰＯＰマスタ,Image3,NVARCHAR2,256,--,
ＰＯＰマスタ,Image4,NVARCHAR2,256,--,
ＰＯＰマスタ,Image5,NVARCHAR2,256,--,
ＰＯＰマスタ,Image6,NVARCHAR2,256,--,
ＰＯＰマスタ,Image7,NVARCHAR2,256,--,
ＰＯＰマスタ,Image8,NVARCHAR2,256,--,
ＰＯＰマスタ,Image9,NVARCHAR2,256,--,
ＰＯＰマスタ,Image10,NVARCHAR2,256,--,
ＰＯＰマスタ,Image11,NVARCHAR2,256,--,
ＰＯＰマスタ,Image12,NVARCHAR2,256,--,
ＰＯＰマスタ,Image13,NVARCHAR2,256,--,
ＰＯＰマスタ,Image14,NVARCHAR2,256,--,
ＰＯＰマスタ,Image15,NVARCHAR2,256,--,
ＰＯＰマスタ,Image16,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode1,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode2,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode3,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode4,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode5,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode6,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode7,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode8,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode9,NVARCHAR2,256,--,
ＰＯＰマスタ,BarCode10,NVARCHAR2,256,--,
ＰＯＰマスタ,AddOperator_Cd,NVARCHAR2,20,○,
ＰＯＰマスタ,AddDateTime,TIMESTAMP,6,○,
ＰＯＰマスタ,AddProc_Cd,NVARCHAR2,40,--,
ＰＯＰマスタ,UpdOperator_Cd,NVARCHAR2,20,○,
ＰＯＰマスタ,UpdDateTime,TIMESTAMP,6,○,
ＰＯＰマスタ,UpdProc_Cd,NVARCHAR2,40,--,
ＰＯＰ商品マスタ,User_Cd,NVARCHAR2,5,○,○
ＰＯＰ商品マスタ,Sku_Cd,NVARCHAR2,13,○,○
ＰＯＰ商品マスタ,ValidFlag,NVARCHAR2,1,○,
ＰＯＰ商品マスタ,CommonPOP1,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,CommonPOP2,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,CommonPOP3,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,OriginalPOP1,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,OriginalPOP2,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,OriginalPOP3,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,Notes,NVARCHAR2,400,--,
ＰＯＰ商品マスタ,GoodPoint,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,PlaceOfOrigin,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,Material,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,Uses,NVARCHAR2,50,--,
ＰＯＰ商品マスタ,Design,NVARCHAR2,70,--,
ＰＯＰ商品マスタ,Width,NUMBER,6,○,
ＰＯＰ商品マスタ,WidthUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタ,Height,NUMBER,6,○,
ＰＯＰ商品マスタ,HeightUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタ,Depth,NUMBER,6,○,
ＰＯＰ商品マスタ,DepthUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタ,AddOperator_Cd,NVARCHAR2,20,○,
ＰＯＰ商品マスタ,AddDateTime,TIMESTAMP,6,○,
ＰＯＰ商品マスタ,AddProc_Cd,NVARCHAR2,40,--,
ＰＯＰ商品マスタ,UpdOperator_Cd,NVARCHAR2,20,○,
ＰＯＰ商品マスタ,UpdDateTime,TIMESTAMP,6,○,
ＰＯＰ商品マスタ,UpdProc_Cd,NVARCHAR2,40,--,
ＰＯＰ商品マスタログ,User_Cd,NVARCHAR2,5,○,○
ＰＯＰ商品マスタログ,LogDateTime,TIMESTAMP,6,○,○
ＰＯＰ商品マスタログ,LogOperator_Cd,NVARCHAR2,20,○,○
ＰＯＰ商品マスタログ,LogType,NVARCHAR2,1,○,○
ＰＯＰ商品マスタログ,Sku_Cd,NVARCHAR2,13,○,○
ＰＯＰ商品マスタログ,ValidFlag,NVARCHAR2,1,○,
ＰＯＰ商品マスタログ,CommonPOP1,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,CommonPOP2,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,CommonPOP3,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,OriginalPOP1,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,OriginalPOP2,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,OriginalPOP3,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,Notes,NVARCHAR2,400,--,
ＰＯＰ商品マスタログ,GoodPoint,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,PlaceOfOrigin,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,Material,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,Uses,NVARCHAR2,50,--,
ＰＯＰ商品マスタログ,Design,NVARCHAR2,70,--,
ＰＯＰ商品マスタログ,Width,NUMBER,6,○,
ＰＯＰ商品マスタログ,WidthUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタログ,Height,NUMBER,6,○,
ＰＯＰ商品マスタログ,HeightUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタログ,Depth,NUMBER,6,○,
ＰＯＰ商品マスタログ,DepthUnit,NVARCHAR2,2,○,
ＰＯＰ商品マスタログ,AddOperator_Cd,NVARCHAR2,20,○,
ＰＯＰ商品マスタログ,AddDateTime,TIMESTAMP,6,○,
ＰＯＰ商品マスタログ,AddProc_Cd,NVARCHAR2,40,--,
ＰＯＰ商品マスタログ,UpdOperator_Cd,NVARCHAR2,20,○,
ＰＯＰ商品マスタログ,UpdDateTime,TIMESTAMP,6,○,
ＰＯＰ商品マスタログ,UpdProc_Cd,NVARCHAR2,40,--,
ＰＯＰ商品マスタログ,PosDataMakeDate,TIMESTAMP,6,--,
